Step	Loss
1	3.4461
2	3.5007
3	3.1815
4	2.3033
5	1.9559
6	1.8066
7	3.3906
8	2.0893
9	3.9971
10	1.513
11	4.2567
12	3.2809
13	0.897
14	2.8669
15	2.2048
16	3.1775
17	3.3902
18	2.6843
19	3.155
20	3.6486
21	3.1366
22	4.0079
23	2.7308
24	3.2482
25	2.8074
26	4.5471
27	3.3959
28	3.0548
29	3.1967
30	3.2928
31	2.0548
32	3.2794
33	2.9646
34	2.1953
35	2.9785
36	3.4083
37	1.6018
38	2.7923
39	2.2642
40	2.825
41	4.795
42	2.105
43	3.4981
44	1.6833
45	3.524
46	1.6616
47	3.3869
48	2.7762
49	3.1714
50	2.6573
51	0.7388
52	2.8639
53	1.8527
54	3.224
55	3.1317
56	0.6364
57	0.9584
58	3.3539
59	3.5016
60	2.249
61	1.3838
62	3.9136
63	2.1014
64	3.1084
65	2.9999
66	2.5534
67	1.2345
68	2.3201
69	3.2442
70	3.567
71	3.3351
72	3.2811
73	2.5888
74	2.7924
75	2.0759
76	3.1506
77	0.9507
78	3.0319
79	2.3818
80	4.534
81	3.4349
82	3.14
83	5.2882
84	1.2351
85	3.5833
86	2.2103
87	3.3672
88	2.8309
89	6.5363
90	0.4578
91	3.5396
92	3.1268
93	0.7799
94	1.9987
95	3.1798
96	3.1668
97	1.7631
98	2.2836
99	2.101
100	2.7001
101	2.8088
102	4.0006
103	3.1883
104	3.0379
105	1.8772
106	2.3797
107	3.1238
108	1.7905
109	1.4958
110	1.6175
111	2.8843
112	1.7331
113	3.7614
114	1.155
115	3.6346
116	2.9985
117	0.8158
118	2.501
119	1.8824
120	2.9655
121	3.1948
122	2.7078
123	2.9433
124	3.3246
125	3.0434
126	3.7396
127	2.6915
128	3.1493
129	2.6302
130	4.2893
131	3.2285
132	2.8307
133	2.972
134	2.9741
135	1.6871
136	3.1681
137	2.8568
138	2.0756
139	2.8416
140	3.3336
141	1.3948
142	2.6572
143	1.7103
144	2.7436
145	4.612
146	1.6196
147	3.5016
148	1.666
149	3.4038
150	1.7293
151	0.5966
152	2.5569
153	3.0497
154	2.5533
155	0.6815
156	2.7801
157	1.4857
158	2.8024
159	3.0478
160	0.3627
161	0.9324
162	3.2173
163	3.3946
164	2.1441
165	1.1843
166	3.7331
167	1.8882
168	2.8763
169	2.8346
170	2.4395
171	1.045
172	2.2138
173	3.1133
174	2.1447
175	2.851
176	3.0244
177	2.473
178	2.2346
179	1.7772
180	2.9988
181	0.8886
182	1.9091
183	2.4192
184	4.2441
185	3.2493
186	2.9536
187	4.13
188	0.8889
189	3.3803
190	1.9562
191	3.2975
192	2.6741
193	5.7351
194	0.2674
195	3.4164
196	2.9475
197	0.359
198	1.1915
199	3.0482
200	2.9805
201	1.5525
202	2.2815
203	1.5318
204	2.6474
205	2.6697
206	3.7974
207	3.1241
208	2.8103
209	1.6371
210	2.3059
211	2.977
212	1.8149
213	1.3975
214	1.4729
215	2.8412
216	1.5887
217	3.2658
218	1.1121
219	3.376
220	2.9529
221	0.8165
222	2.5241
223	1.5827
224	2.8543
225	3.0628
226	2.5301
227	2.8338
228	3.2367
229	2.8795
230	3.5702
231	2.5635
232	3.1011
233	2.431
234	4.1544
235	3.1704
236	2.7683
237	2.8894
238	2.8323
239	1.4475
240	3.1094
241	2.8336
242	1.9518
243	2.744
244	3.1639
245	1.2688
246	2.3115
247	1.5014
248	2.6582
249	4.4346
250	1.4267
251	3.4082
252	1.5366
253	3.3396
254	1.5214
255	0.1203
256	2.5254
257	2.9656
258	2.5881
259	0.5388
260	2.6966
261	1.3296
262	2.5909
263	2.9431
264	0.272
265	0.6875
266	3.1815
267	3.3175
268	2.0866
269	1.119
270	3.5039
271	1.8343
272	2.8112
273	2.7961
274	2.3992
275	0.9779
276	2.0006
277	2.9594
278	1.8617
279	3.0532
280	2.9394
281	2.4399
282	2.2108
283	1.6836
284	3.0246
285	0.8829
286	1.2818
287	2.2937
288	4.1579
289	3.1535
290	2.875
291	3.0297
292	1.0108
293	3.4548
294	1.6678
295	3.2496
296	2.7067
297	4.7237
298	0.1639
299	3.3297
300	2.8692
301	0.2548
302	1.1025
303	2.9854
304	2.9006
305	1.4376
306	2.1504
307	1.2244
308	2.6078
309	2.5532
310	3.6033
311	3.0529
312	2.8341
313	1.3702
314	2.1172
315	2.9125
316	1.8468
317	1.2014
318	1.4052
319	2.6114
320	1.4828
321	3.0947
322	0.8672
323	3.4675
324	2.894
325	0.775
326	2.4203
327	1.3324
328	2.813
329	3.0068
330	2.5539
331	2.7849
332	3.1236
333	2.8835
334	3.4847
335	2.4334
336	2.9862
337	2.3733
338	3.8569
339	3.148
340	2.4849
341	2.8009
342	2.7009
343	1.3391
344	3.0151
345	2.5133
346	1.9121
347	2.6974
348	3.0425
349	1.347
350	2.2487
351	1.2517
352	2.5161
353	4.2625
354	1.3522
355	2.9072
356	1.504
357	3.1507
358	1.2893
359	0.009
360	2.5047
361	2.8862
362	2.5985
363	0.5398
364	2.6842
365	1.2963
366	2.4856
367	2.842
368	0.2852
369	0.5797
370	3.0693
371	3.2473
372	2.0602
373	0.8468
374	3.4904
375	1.8684
376	2.689
377	2.6575
378	2.4593
379	0.9773
380	2.0121
381	2.8695
382	1.3578
383	2.787
384	2.8009
385	2.3733
386	2.1226
387	1.7877
388	2.8873
389	0.7719
